label,label_id,total,train,val,test,train_ratio,val_ratio,test_ratio
aluminum,0,25,21,2,2,0.84,0.08,0.08
carton,1,23,19,2,2,0.8260869565217391,0.08695652173913043,0.08695652173913043
foam,2,34,28,3,3,0.8235294117647058,0.08823529411764706,0.08823529411764706
glass,3,30,24,3,3,0.8,0.1,0.1
paper,4,18,14,2,2,0.7777777777777778,0.1111111111111111,0.1111111111111111
plastic,5,56,44,6,6,0.7857142857142857,0.10714285714285714,0.10714285714285714
rubber,6,20,16,2,2,0.8,0.1,0.1
tile,7,22,18,2,2,0.8181818181818182,0.09090909090909091,0.09090909090909091
wood,8,30,24,3,3,0.8,0.1,0.1
woodgrain,9,16,12,2,2,0.75,0.125,0.125
